name,race_wins
Ferrari,243
McLaren,179
Mercedes,124
Williams,114
Red Bull,84
Team Lotus,45
Renault,35
Benetton,27
Tyrrell,23
Brabham,23
Lotus-Climax,22
BRM,17
Cooper-Climax,12
Lotus-Ford,11
Alfa Romeo,11
Vanwall,10
Matra-Ford,9
Maserati,9
Ligier,9
Brawn,8
Brabham-Repco,8
Kurtis Kraft,5
McLaren-Ford,4
Jordan,4
Wolf,3
Watson,3
March,3
Honda,3
Lotus F1,2
Epperly,2
Cooper-Maserati,2
Cooper,2
Brabham-Ford,2
Brabham-Climax,2
Toro Rosso,1
Stewart,1
Shadow,1
Racing Point,1
Porsche,1
Penske,1
Lotus-BRM,1
Kuzma,1
Hesketh,1
Eagle-Weslake,1
BMW Sauber,1
Alpine F1 Team,1
AlphaTauri,1
Zakspeed,0
Wetteroth,0
Virgin,0
Veritas,0
Turner,0
Trojan,0
Trevis,0
Toyota,0
Toleman,0
Token,0
Theodore,0
Tecno,0
Tec-Mec,0
Talbot-Lago,0
Sutton,0
Surtees,0
Super Aguri,0
Stevens,0
Stebro,0
Spyker MF1,0
Spyker,0
Spirit,0
Snowberger,0
Simtek,0
Simca,0
Sherman,0
Shannon,0
Shadow-Matra,0
Shadow-Ford,0
Scirocco,0
Schroeder,0
Scarab,0
Sauber,0
Rial,0
Rebaque,0
Rae,0
RE,0
RAM,0
Protos,0
Prost,0
Politoys,0
Phillips,0
Pawl,0
Parnelli,0
Pankratz,0
Pacific,0
Osella,0
Onyx,0
Olson,0
OSCA,0
Nichels,0
Moore,0
Minardi,0
Milano,0
Meskowski,0
Merzario,0
McLaren-Serenissima,0
McLaren-BRM,0
McLaren-Alfa Romeo,0
McGuire,0
Matra,0
Marussia,0
Martini,0
Marchese,0
March-Ford,0
March-Alfa Romeo,0
Manor Marussia,0
Maki,0
MF1,0
MBM,0
Lyncar,0
Lotus-Pratt &amp; Whitney,0
Lotus-Maserati,0
Lotus-Borgward,0
Lotus,0
Lola,0
Life,0
Leyton House,0
Lesovsky,0
Larrousse,0
Langley,0
Lancia,0
Lambo,0
LEC,0
LDS-Climax,0
LDS-Alfa Romeo,0
LDS,0
Kojima,0
Klenk,0
Kauhsen,0
Jaguar,0
JBW,0
Iso Marlboro,0
Hall,0
Haas F1 Team,0
HWM,0
HRT,0
Gordini,0
Gilby,0
Fry,0
Frazer Nash,0
Forti,0
Force India,0
Footwork,0
Fondmetal,0
Fittipaldi,0
Ferguson,0
Ewing,0
Euro Brun,0
Ensign,0
Emeryson,0
Embassy Hill,0
Elder,0
Eagle-Climax,0
ERA,0
ENB,0
EMW,0
Dunn,0
Derrington,0
Del Roy,0
Deidt,0
De Tomaso-Osca,0
De Tomaso-Ferrari,0
De Tomaso-Alfa Romeo,0
De Tomaso,0
Dallara,0
Cooper-OSCA,0
Cooper-Ford,0
Cooper-Ferrari,0
Cooper-Castellotti,0
Cooper-Borgward,0
Cooper-BRM,0
Cooper-Alfa Romeo,0
Cooper-ATS,0
Connew,0
Connaught,0
Coloni,0
Cisitalia,0
Christensen,0
Caterham,0
Bugatti,0
Bromme,0
Brabham-BRM,0
Brabham-Alfa Romeo,0
Boro,0
Bellasi,0
Behra-Porsche,0
BRP,0
BRM-Ford,0
BMW,0
BAR,0
Aston Martin,0
Aston Butterworth,0
Arzani-Volpini,0
Arrows,0
Apollon,0
Andrea Moda,0
Amon,0
Alta,0
Adams,0
ATS,0
AGS,0
AFM,0
