name,country,city,premiere,number_of_times
Autodromo Nazionale di Monza,Italy,Monza,1950,72
Circuit de Monaco,Monaco,Monte-Carlo,1950,68
Silverstone Circuit,UK,Silverstone,1950,57
Circuit de Spa-Francorchamps,Belgium,Spa,1950,55
Nürburgring,Germany,Nürburg,1951,41
Circuit Gilles Villeneuve,Canada,Montreal,1978,41
Autódromo José Carlos Pace,Brazil,São Paulo,1973,39
Hungaroring,Hungary,Budapest,1986,37
Hockenheimring,Germany,Hockenheim,1970,37
Red Bull Ring,Austria,Spielberg,1970,36
Suzuka Circuit,Japan,Suzuka,1987,32
Circuit de Barcelona-Catalunya,Spain,Montmeló,1991,32
Circuit Park Zandvoort,Netherlands,Zandvoort,1952,32
Autodromo Enzo e Dino Ferrari,Italy,Imola,1980,30
Albert Park Grand Prix Circuit,Australia,Melbourne,1996,25
Autódromo Hermanos Rodríguez,Mexico,Mexico City,1963,22
Watkins Glen,USA,New York State,1961,20
Kyalami,South Africa,Midrand,1967,20
Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,1953,20
Sepang International Circuit,Malaysia,Kuala Lumpur,1999,19
Indianapolis Motor Speedway,USA,Indianapolis,1950,19
Bahrain International Circuit,Bahrain,Sakhir,2004,19
Circuit de Nevers Magny-Cours,France,Magny Cours,1991,18
Circuit Paul Ricard,France,Le Castellet,1971,18
Shanghai International Circuit,China,Shanghai,2004,16
Yas Marina Circuit,UAE,Abu Dhabi,2009,14
Brands Hatch,UK,Kent,1964,14
Marina Bay Street Circuit,Singapore,Marina Bay,2008,13
Autódromo do Estoril,Portugal,Estoril,1984,13
Reims-Gueux,France,Reims,1950,11
Adelaide Street Circuit,Australia,Adelaide,1985,11
Zolder,Belgium,Heusden-Zolder,1973,10
Circuit of the Americas,USA,Austin,2012,10
Autódromo Internacional Nelson Piquet,Brazil,Rio de Janeiro,1978,10
Jarama,Spain,Madrid,1968,9
Istanbul Park,Turkey,Istanbul,2005,9
Sochi Autodrom,Russia,Sochi,2014,8
Mosport International Raceway,Canada,Ontario,1967,8
Long Beach,USA,California,1976,8
Detroit Street Circuit,USA,Detroit,1982,7
Circuito de Jerez,Spain,Jerez de la Frontera,1986,7
Scandinavian Raceway,Sweden,Anderstorp,1973,6
Dijon-Prenois,France,Dijon,1974,6
Baku City Circuit,Azerbaijan,Baku,2016,6
Valencia Street Circuit,Spain,Valencia,2008,5
Rouen-Les-Essarts,France,Rouen,1952,5
Circuit Bremgarten,Switzerland,Bern,1950,5
Aintree,UK,Liverpool,1955,5
Montjuïc,Spain,Barcelona,1969,4
Korean International Circuit,Korea,Yeongam County,2010,4
Fuji Speedway,Japan,Oyama,1976,4
Charade Circuit,France,Clermont-Ferrand,1965,4
Prince George Circuit,South Africa,Eastern Cape Province,1962,3
Phoenix street circuit,USA,Phoenix,1989,3
Buddh International Circuit,India,Uttar Pradesh,2011,3
Okayama International Circuit,Japan,Okayama,1994,2
Nivelles-Baulers,Belgium,Brussels,1972,2
Las Vegas Street Circuit,USA,Nevada,1981,2
Jeddah Corniche Circuit,Saudi Arabia,Jeddah,2021,2
Circuito da Boavista,Portugal,Oporto,1958,2
Circuit de Pedralbes,Spain,Barcelona,1951,2
Circuit Mont-Tremblant,Canada,Quebec,1968,2
Autódromo Internacional do Algarve,Portugal,Portimão,2020,2
Zeltweg,Austria,Styria,1964,1
Sebring International Raceway,USA,Florida,1959,1
Riverside International Raceway,USA,California,1960,1
Pescara Circuit,Italy,Pescara,1957,1
Monsanto Park Circuit,Portugal,Lisbon,1959,1
Miami International Autodrome,USA,Miami,2022,1
Losail International Circuit,Qatar,Al Daayen,2021,1
Le Mans,France,Le Mans,1967,1
Fair Park,USA,Dallas,1984,1
Donington Park,UK,Castle Donington,1993,1
Autodromo Internazionale del Mugello,Italy,Mugello,2020,1
Ain Diab,Morocco,Casablanca,1958,1
AVUS,Germany,Berlin,1959,1
